date_month,area_name,area_code,avg_monthly_rent,rent_yoy_pct
2015-01-01,Barking and Dagenham,E09000002,964.0,
2015-02-01,Barking and Dagenham,E09000002,975.0,
2015-03-01,Barking and Dagenham,E09000002,988.0,
2015-04-01,Barking and Dagenham,E09000002,999.0,
2015-05-01,Barking and Dagenham,E09000002,1001.0,
2015-06-01,Barking and Dagenham,E09000002,1004.0,
2015-07-01,Barking and Dagenham,E09000002,1007.0,
2015-08-01,Barking and Dagenham,E09000002,1010.0,
2015-09-01,Barking and Dagenham,E09000002,1020.0,
2015-10-01,Barking and Dagenham,E09000002,1033.0,
2015-11-01,Barking and Dagenham,E09000002,1045.0,
2015-12-01,Barking and Dagenham,E09000002,1051.0,
2016-01-01,Barking and Dagenham,E09000002,1055.0,9.436673
2016-02-01,Barking and Dagenham,E09000002,1059.0,8.589223
2016-03-01,Barking and Dagenham,E09000002,1068.0,8.109718
2016-04-01,Barking and Dagenham,E09000002,1085.0,8.667448
2016-05-01,Barking and Dagenham,E09000002,1102.0,10.081312
2016-06-01,Barking and Dagenham,E09000002,1110.0,10.593251
2016-07-01,Barking and Dagenham,E09000002,1111.0,10.304765
2016-08-01,Barking and Dagenham,E09000002,1112.0,10.142586
2016-09-01,Barking and Dagenham,E09000002,1116.0,9.414516
2016-10-01,Barking and Dagenham,E09000002,1122.0,8.568361
2016-11-01,Barking and Dagenham,E09000002,1126.0,7.744946
2016-12-01,Barking and Dagenham,E09000002,1131.0,7.638503
2017-01-01,Barking and Dagenham,E09000002,1134.0,7.507485
2017-02-01,Barking and Dagenham,E09000002,1138.0,7.401676
2017-03-01,Barking and Dagenham,E09000002,1140.0,6.714119
2017-04-01,Barking and Dagenham,E09000002,1150.0,6.006386
2017-05-01,Barking and Dagenham,E09000002,1160.0,5.294152
2017-06-01,Barking and Dagenham,E09000002,1169.0,5.297328
2017-07-01,Barking and Dagenham,E09000002,1173.0,5.635289
2017-08-01,Barking and Dagenham,E09000002,1180.0,6.083464
