area_code,area_name,longitude,latitude
E09000001,City of London,-0.09352,51.51564
E09000002,Barking and Dagenham,0.129479,51.54556
E09000003,Barnet,-0.2182,51.61107
E09000004,Bexley,0.146212,51.45823
E09000005,Brent,-0.27569,51.56439
E09000006,Bromley,0.039246,51.37266
E09000007,Camden,-0.16291,51.54305
E09000008,Croydon,-0.07762,51.36599
E09000009,Ealing,-0.3141,51.52443
E09000010,Enfield,-0.08144,51.6489
E09000011,Greenwich,0.050093,51.46394
E09000012,Hackney,-0.06046,51.55493
E09000013,Hammersmith and Fulham,-0.21735,51.48733
E09000014,Haringey,-0.1067,51.58772
E09000015,Harrow,-0.33599,51.59467
E09000016,Havering,0.235368,51.5652
E09000017,Hillingdon,-0.44179,51.53664
E09000018,Hounslow,-0.37855,51.46239
E09000019,Islington,-0.1099,51.54547
E09000020,Kensington and Chelsea,-0.18978,51.49645
E09000021,Kingston upon Thames,-0.28368,51.39296
E09000022,Lambeth,-0.11385,51.46445
E09000023,Lewisham,-0.01734,51.4423
E09000024,Merton,-0.18869,51.41059
E09000025,Newham,0.027261,51.5315
E09000026,Redbridge,0.070085,51.58588
E09000027,Richmond upon Thames,-0.28914,51.44035
E09000028,Southwark,-0.07309,51.46595
E09000029,Sutton,-0.17227,51.35755
E09000030,Tower Hamlets,-0.03648,51.51555
E09000031,Waltham Forest,-0.0188,51.59462
E09000032,Wandsworth,-0.20022,51.4524
E09000033,Westminster,-0.15295,51.51222
